"Date","Temp","Umidità","Remark"
2023/01/31 14:48:16,"19.06℃","49.12%",""
2023/01/31 14:58:16,"19.06℃","49.12%",""
2023/01/31 15:08:16,"19.69℃","43.62%",""
2023/01/31 15:18:16,"18.75℃","39.69%",""
2023/01/31 15:28:16,"18.56℃","62.31%",""
2023/01/31 15:38:16,"12.75℃","43.69%",""
2023/01/31 15:48:16,"10.19℃","49.75%",""
2023/01/31 15:58:16,"9.19℃","52.62%",""
2023/01/31 16:08:16,"8.69℃","54.38%",""
2023/01/31 16:18:16,"8.44℃","55.94%",""
2023/01/31 16:28:16,"8.19℃","56.19%",""
2023/01/31 16:38:16,"7.94℃","56.25%",""
2023/01/31 16:48:16,"7.69℃","56.56%",""
2023/01/31 16:58:16,"7.19℃","58.44%",""
2023/01/31 17:08:16,"6.50℃","60.06%",""
2023/01/31 17:18:16,"6.19℃","61.00%",""
2023/01/31 17:28:16,"5.75℃","62.00%",""
2023/01/31 17:38:16,"5.31℃","63.06%",""
2023/01/31 17:48:16,"5.13℃","64.25%",""
2023/01/31 17:58:16,"4.94℃","64.50%",""
2023/01/31 18:08:16,"4.81℃","65.44%",""
2023/01/31 18:18:16,"4.69℃","66.75%",""
2023/01/31 18:28:16,"4.63℃","67.88%",""
2023/01/31 18:38:16,"4.56℃","67.94%",""
2023/01/31 18:48:16,"4.50℃","67.88%",""
2023/01/31 18:58:16,"4.31℃","67.69%",""
2023/01/31 19:08:16,"4.25℃","68.88%",""
2023/01/31 19:18:16,"4.19℃","67.56%",""
2023/01/31 19:28:16,"3.94℃","68.81%",""
2023/01/31 19:38:16,"3.88℃","69.19%",""
2023/01/31 19:48:16,"3.69℃","68.88%",""
2023/01/31 19:58:16,"3.50℃","70.31%",""
2023/01/31 20:08:16,"3.50℃","70.31%",""
2023/01/31 20:18:16,"3.56℃","70.19%",""
2023/01/31 20:28:16,"3.38℃","69.81%",""
2023/01/31 20:38:16,"3.19℃","69.75%",""
2023/01/31 20:48:16,"3.06℃","71.31%",""
2023/01/31 20:58:16,"3.06℃","71.75%",""
2023/01/31 21:08:16,"3.06℃","70.75%",""
2023/01/31 21:18:16,"3.00℃","71.38%",""
2023/01/31 21:28:16,"3.00℃","71.50%",""
2023/01/31 21:38:16,"3.00℃","70.06%",""
2023/01/31 21:48:16,"2.81℃","70.75%",""
2023/01/31 21:58:16,"2.88℃","71.19%",""
2023/01/31 22:08:16,"2.75℃","70.81%",""
2023/01/31 22:18:16,"2.75℃","70.69%",""
2023/01/31 22:28:16,"2.75℃","70.12%",""
2023/01/31 22:38:16,"2.75℃","70.75%",""
