"Date","Temp","Umidità","Remark"
2023/05/05 10:48:50,"23.19℃","67.69%",""
2023/05/05 10:58:50,"23.56℃","66.44%",""
2023/05/05 11:08:50,"23.50℃","66.38%",""
2023/05/05 11:18:50,"23.56℃","66.00%",""
2023/05/05 11:28:50,"23.75℃","65.00%",""
2023/05/05 11:38:50,"24.19℃","63.19%",""
2023/05/05 11:48:50,"24.75℃","65.00%",""
2023/05/05 11:58:50,"24.50℃","62.50%",""
2023/05/05 12:08:50,"24.13℃","58.56%",""
2023/05/05 12:18:50,"24.31℃","67.12%",""
2023/05/05 12:28:50,"24.38℃","59.81%",""
2023/05/05 12:38:50,"24.69℃","60.94%",""
2023/05/05 12:48:50,"24.75℃","61.75%",""
2023/05/05 12:58:50,"25.31℃","62.38%",""
2023/05/05 13:08:50,"25.38℃","61.06%",""
2023/05/05 13:18:50,"25.63℃","64.50%",""
2023/05/05 13:28:50,"25.94℃","58.56%",""
2023/05/05 13:38:50,"26.13℃","65.56%",""
2023/05/05 13:48:50,"25.63℃","62.69%",""
2023/05/05 13:58:50,"26.25℃","66.25%",""
2023/05/05 14:08:50,"26.00℃","60.75%",""
2023/05/05 14:18:50,"26.19℃","60.62%",""
2023/05/05 14:28:50,"25.75℃","61.06%",""
2023/05/05 14:38:50,"25.81℃","58.12%",""
2023/05/05 14:48:50,"25.94℃","62.88%",""
2023/05/05 14:58:50,"26.00℃","56.62%",""
2023/05/05 15:08:50,"25.94℃","57.81%",""
2023/05/05 15:18:50,"26.06℃","59.81%",""
2023/05/05 15:28:50,"25.94℃","55.38%",""
2023/05/05 15:38:50,"25.50℃","60.38%",""
2023/05/05 15:48:50,"24.81℃","58.62%",""
2023/05/05 15:58:50,"24.69℃","56.50%",""
2023/05/05 16:08:50,"24.38℃","61.12%",""
2023/05/05 16:18:50,"23.88℃","61.69%",""
2023/05/05 16:28:50,"24.38℃","64.94%",""
2023/05/05 16:38:50,"25.31℃","60.81%",""
2023/05/05 16:48:50,"26.19℃","59.00%",""
2023/05/05 16:58:50,"26.31℃","60.88%",""
2023/05/05 17:08:50,"25.81℃","61.00%",""
2023/05/05 17:18:50,"25.44℃","60.19%",""
2023/05/05 17:28:50,"24.38℃","61.50%",""
2023/05/05 17:38:50,"23.06℃","61.31%",""
2023/05/05 17:48:50,"22.06℃","63.00%",""
2023/05/05 17:58:50,"21.25℃","67.31%",""
2023/05/05 18:08:50,"20.63℃","67.38%",""
2023/05/05 18:18:50,"19.94℃","70.88%",""
2023/05/05 18:28:50,"19.44℃","70.31%",""
2023/05/05 18:38:50,"19.19℃","69.75%",""
2023/05/05 18:48:50,"19.06℃","73.69%",""
2023/05/05 18:58:50,"18.75℃","71.94%",""
2023/05/05 19:08:50,"18.44℃","74.81%",""
2023/05/05 19:18:50,"18.13℃","76.94%",""
2023/05/05 19:28:50,"17.94℃","76.19%",""
2023/05/05 19:38:50,"17.75℃","77.75%",""
2023/05/05 19:48:50,"17.38℃","78.62%",""
2023/05/05 19:58:50,"17.06℃","79.50%",""
2023/05/05 20:08:50,"16.75℃","80.00%",""
2023/05/05 20:18:50,"16.44℃","80.44%",""
2023/05/05 20:28:50,"16.25℃","80.94%",""
2023/05/05 20:38:50,"16.06℃","81.19%",""
2023/05/05 20:48:50,"15.88℃","81.88%",""
2023/05/05 20:58:50,"15.75℃","81.88%",""
2023/05/05 21:08:50,"15.75℃","82.62%",""
2023/05/05 21:18:50,"15.63℃","82.50%",""
2023/05/05 21:28:50,"15.56℃","82.94%",""
2023/05/05 21:38:50,"15.50℃","82.69%",""
2023/05/05 21:48:50,"15.31℃","83.00%",""
2023/05/05 21:58:50,"15.13℃","84.06%",""
2023/05/05 22:08:50,"14.88℃","84.56%",""
2023/05/05 22:18:50,"14.63℃","86.19%",""
2023/05/05 22:28:50,"14.38℃","85.44%",""
2023/05/05 22:38:50,"14.19℃","86.44%",""
2023/05/05 22:48:50,"14.25℃","86.25%",""
2023/05/05 22:58:50,"14.31℃","86.62%",""
2023/05/05 23:08:50,"14.19℃","86.44%",""
2023/05/05 23:18:50,"14.13℃","87.00%",""
2023/05/05 23:28:50,"14.13℃","87.06%",""
2023/05/05 23:38:50,"14.00℃","86.50%",""
2023/05/05 23:48:50,"13.94℃","87.69%",""
2023/05/05 23:58:50,"13.81℃","86.62%",""
2023/05/06 00:08:50,"13.75℃","87.69%",""
2023/05/06 00:18:50,"13.75℃","87.19%",""
2023/05/06 00:28:50,"13.75℃","88.12%",""
2023/05/06 00:38:50,"13.81℃","87.88%",""
2023/05/06 00:48:50,"13.81℃","88.38%",""
2023/05/06 00:58:50,"13.69℃","88.69%",""
2023/05/06 01:08:50,"13.56℃","87.25%",""
2023/05/06 01:18:50,"13.25℃","87.75%",""
2023/05/06 01:28:50,"13.00℃","88.88%",""
2023/05/06 01:38:50,"13.00℃","89.31%",""
2023/05/06 01:48:50,"13.00℃","89.38%",""
2023/05/06 01:58:50,"12.88℃","89.94%",""
2023/05/06 02:08:50,"12.94℃","89.81%",""
2023/05/06 02:18:50,"13.06℃","89.88%",""
2023/05/06 02:28:50,"13.06℃","89.94%",""
2023/05/06 02:38:50,"13.06℃","90.62%",""
2023/05/06 02:48:50,"13.13℃","90.25%",""
2023/05/06 02:58:50,"13.06℃","90.25%",""
2023/05/06 03:08:50,"12.88℃","89.62%",""
2023/05/06 03:18:50,"12.81℃","90.62%",""
2023/05/06 03:28:50,"12.81℃","91.06%",""
2023/05/06 03:38:50,"12.75℃","90.06%",""
2023/05/06 03:48:50,"12.63℃","90.62%",""
2023/05/06 03:58:50,"12.56℃","92.12%",""
2023/05/06 04:08:50,"12.56℃","90.50%",""
2023/05/06 04:18:50,"12.31℃","90.81%",""
2023/05/06 04:28:50,"12.25℃","91.50%",""
2023/05/06 04:38:50,"12.31℃","92.12%",""
2023/05/06 04:48:50,"12.50℃","91.75%",""
2023/05/06 04:58:50,"12.56℃","91.56%",""
2023/05/06 05:08:50,"12.56℃","92.50%",""
2023/05/06 05:18:50,"12.56℃","92.50%",""
2023/05/06 05:28:50,"12.56℃","91.94%",""
2023/05/06 05:38:50,"12.44℃","90.62%",""
2023/05/06 05:48:50,"12.19℃","91.69%",""
2023/05/06 05:58:50,"12.00℃","91.88%",""
2023/05/06 06:08:50,"11.94℃","93.12%",""
2023/05/06 06:18:50,"12.19℃","94.31%",""
2023/05/06 06:28:50,"12.31℃","92.56%",""
2023/05/06 06:38:50,"12.31℃","93.25%",""
2023/05/06 06:48:50,"12.38℃","92.44%",""
2023/05/06 06:58:50,"12.75℃","93.25%",""
2023/05/06 07:08:50,"13.56℃","93.00%",""
2023/05/06 07:18:50,"14.19℃","93.25%",""
2023/05/06 07:28:50,"15.25℃","91.88%",""
2023/05/06 07:38:50,"16.06℃","88.56%",""
2023/05/06 07:48:50,"16.38℃","87.31%",""
2023/05/06 07:58:50,"16.69℃","86.88%",""
2023/05/06 08:08:50,"17.25℃","86.38%",""
2023/05/06 08:18:50,"18.06℃","85.62%",""
2023/05/06 08:28:50,"18.63℃","85.25%",""
2023/05/06 08:38:50,"19.13℃","82.81%",""
2023/05/06 08:48:50,"19.94℃","82.25%",""
2023/05/06 08:58:50,"20.50℃","79.56%",""
2023/05/06 09:08:50,"20.75℃","78.50%",""
2023/05/06 09:18:50,"21.06℃","76.62%",""
2023/05/06 09:28:50,"21.81℃","76.31%",""
2023/05/06 09:38:50,"22.63℃","73.75%",""
2023/05/06 09:48:50,"23.38℃","73.69%",""
2023/05/06 09:58:50,"23.31℃","72.06%",""
2023/05/06 10:08:50,"23.38℃","70.50%",""
2023/05/06 10:18:50,"23.69℃","70.88%",""
2023/05/06 10:28:50,"24.13℃","64.50%",""
2023/05/06 10:38:50,"24.19℃","69.62%",""
2023/05/06 10:48:50,"24.50℃","69.25%",""
2023/05/06 10:58:50,"24.75℃","64.62%",""
2023/05/06 11:08:50,"25.13℃","65.06%",""
2023/05/06 11:18:50,"25.19℃","61.06%",""
2023/05/06 11:28:50,"25.50℃","57.44%",""
2023/05/06 11:38:50,"25.50℃","60.75%",""
2023/05/06 11:48:50,"25.88℃","60.19%",""
2023/05/06 11:58:50,"25.94℃","62.88%",""
2023/05/06 12:08:50,"26.13℃","64.94%",""
2023/05/06 12:18:50,"26.56℃","64.75%",""
2023/05/06 12:28:50,"26.44℃","60.81%",""
2023/05/06 12:38:50,"26.19℃","57.56%",""
2023/05/06 12:48:50,"26.31℃","57.00%",""
2023/05/06 12:58:50,"26.69℃","53.75%",""
2023/05/06 13:08:50,"26.06℃","55.75%",""
2023/05/06 13:18:50,"26.56℃","67.75%",""
2023/05/06 13:28:50,"26.69℃","52.69%",""
2023/05/06 13:38:50,"26.50℃","57.81%",""
2023/05/06 13:48:50,"26.31℃","58.69%",""
2023/05/06 13:58:50,"26.44℃","52.44%",""
2023/05/06 14:08:50,"26.44℃","59.81%",""
2023/05/06 14:18:50,"26.56℃","55.38%",""
2023/05/06 14:28:50,"27.44℃","56.00%",""
2023/05/06 14:38:50,"27.13℃","57.50%",""
2023/05/06 14:48:50,"27.25℃","64.75%",""
2023/05/06 14:58:50,"27.63℃","58.12%",""
2023/05/06 15:08:50,"27.50℃","53.81%",""
2023/05/06 15:18:50,"27.69℃","57.94%",""
