"Date","Temp","Umidità","Remark"
2023/05/23 12:23:12,"20.69℃","76.75%",""
2023/05/23 12:33:12,"26.81℃","53.19%",""
2023/05/23 12:43:12,"27.19℃","54.44%",""
2023/05/23 12:53:12,"27.38℃","50.12%",""
2023/05/23 13:03:12,"27.19℃","48.75%",""
2023/05/23 13:13:12,"26.94℃","49.44%",""
2023/05/23 13:23:12,"26.81℃","50.19%",""
2023/05/23 13:33:12,"26.63℃","50.88%",""
2023/05/23 13:43:12,"26.50℃","50.44%",""
2023/05/23 13:53:12,"26.56℃","50.06%",""
2023/05/23 14:03:12,"26.81℃","49.00%",""
2023/05/23 14:13:12,"27.31℃","50.12%",""
2023/05/23 14:23:12,"28.00℃","47.38%",""
2023/05/23 14:33:12,"27.63℃","47.75%",""
2023/05/23 14:43:12,"27.94℃","48.69%",""
2023/05/23 14:53:12,"28.44℃","46.81%",""
2023/05/23 15:03:12,"28.44℃","45.75%",""
2023/05/23 15:13:12,"28.50℃","48.56%",""
2023/05/23 15:23:12,"28.25℃","44.75%",""
2023/05/23 15:33:12,"27.94℃","47.94%",""
2023/05/23 15:43:12,"27.50℃","51.50%",""
2023/05/23 15:53:12,"26.56℃","50.69%",""
2023/05/23 16:03:12,"25.94℃","52.62%",""
2023/05/23 16:13:12,"25.44℃","58.94%",""
2023/05/23 16:23:12,"25.00℃","62.00%",""
2023/05/23 16:33:12,"24.75℃","61.94%",""
2023/05/23 16:43:12,"24.81℃","63.62%",""
2023/05/23 16:53:12,"25.13℃","61.31%",""
2023/05/23 17:03:12,"25.19℃","59.38%",""
2023/05/23 17:13:12,"24.88℃","58.94%",""
2023/05/23 17:23:12,"24.75℃","58.19%",""
2023/05/23 17:33:12,"24.94℃","61.25%",""
2023/05/23 17:43:12,"25.31℃","60.69%",""
2023/05/23 17:53:12,"25.44℃","57.62%",""
2023/05/23 18:03:12,"25.31℃","56.94%",""
2023/05/23 18:13:12,"25.00℃","63.44%",""
2023/05/23 18:23:12,"24.44℃","64.75%",""
2023/05/23 18:33:12,"23.94℃","65.06%",""
2023/05/23 18:43:12,"23.38℃","65.69%",""
2023/05/23 18:53:12,"22.75℃","67.12%",""
2023/05/23 19:03:12,"22.19℃","68.69%",""
2023/05/23 19:13:12,"21.63℃","69.06%",""
2023/05/23 19:23:12,"21.19℃","70.00%",""
2023/05/23 19:33:12,"20.81℃","71.06%",""
2023/05/23 19:43:12,"20.56℃","71.81%",""
2023/05/23 19:53:12,"20.44℃","70.56%",""
2023/05/23 20:03:12,"20.13℃","70.38%",""
2023/05/23 20:13:12,"19.81℃","70.69%",""
2023/05/23 20:23:12,"19.56℃","72.25%",""
2023/05/23 20:33:12,"19.25℃","71.19%",""
2023/05/23 20:43:12,"18.88℃","70.38%",""
2023/05/23 20:53:12,"18.69℃","72.06%",""
2023/05/23 21:03:12,"18.75℃","71.06%",""
2023/05/23 21:13:12,"18.50℃","71.38%",""
2023/05/23 21:23:12,"18.19℃","71.75%",""
2023/05/23 21:33:12,"17.94℃","70.94%",""
2023/05/23 21:43:12,"17.94℃","71.31%",""
2023/05/23 21:53:12,"17.75℃","71.06%",""
2023/05/23 22:03:12,"17.56℃","70.31%",""
2023/05/23 22:13:12,"17.31℃","69.75%",""
2023/05/23 22:23:12,"17.38℃","68.75%",""
2023/05/23 22:33:12,"17.13℃","69.19%",""
2023/05/23 22:43:12,"17.00℃","71.25%",""
2023/05/23 22:53:12,"16.88℃","71.69%",""
2023/05/23 23:03:12,"16.69℃","73.62%",""
2023/05/23 23:13:12,"16.50℃","71.31%",""
2023/05/23 23:23:12,"16.25℃","71.56%",""
2023/05/23 23:33:12,"16.00℃","73.50%",""
2023/05/23 23:43:12,"15.88℃","72.88%",""
2023/05/23 23:53:12,"15.94℃","73.12%",""
2023/05/24 00:03:12,"16.19℃","73.25%",""
2023/05/24 00:13:12,"16.38℃","73.38%",""
2023/05/24 00:23:12,"16.38℃","73.06%",""
2023/05/24 00:33:12,"16.50℃","71.75%",""
2023/05/24 00:43:12,"16.69℃","73.38%",""
2023/05/24 00:53:12,"16.50℃","73.81%",""
2023/05/24 01:03:12,"16.31℃","73.19%",""
2023/05/24 01:13:12,"16.13℃","74.00%",""
2023/05/24 01:23:12,"15.94℃","73.81%",""
2023/05/24 01:33:12,"15.69℃","74.12%",""
2023/05/24 01:43:12,"15.44℃","74.75%",""
2023/05/24 01:53:12,"15.31℃","75.25%",""
2023/05/24 02:03:12,"15.19℃","75.38%",""
2023/05/24 02:13:12,"15.19℃","76.12%",""
2023/05/24 02:23:12,"15.06℃","76.06%",""
2023/05/24 02:33:12,"15.06℃","76.81%",""
2023/05/24 02:43:12,"15.06℃","76.75%",""
2023/05/24 02:53:12,"15.06℃","77.56%",""
2023/05/24 03:03:12,"15.13℃","75.25%",""
2023/05/24 03:13:12,"15.13℃","75.69%",""
2023/05/24 03:23:12,"14.94℃","75.88%",""
2023/05/24 03:33:12,"14.69℃","76.44%",""
2023/05/24 03:43:12,"14.69℃","76.69%",""
2023/05/24 03:53:12,"14.69℃","76.94%",""
2023/05/24 04:03:12,"14.63℃","77.44%",""
2023/05/24 04:13:12,"14.56℃","78.00%",""
2023/05/24 04:23:12,"14.50℃","78.31%",""
2023/05/24 04:33:12,"14.50℃","78.50%",""
2023/05/24 04:43:12,"14.50℃","77.31%",""
2023/05/24 04:53:12,"14.38℃","77.94%",""
2023/05/24 05:03:12,"14.25℃","78.56%",""
2023/05/24 05:13:12,"14.19℃","78.62%",""
2023/05/24 05:23:12,"14.06℃","78.81%",""
2023/05/24 05:33:12,"14.13℃","78.69%",""
2023/05/24 05:43:12,"14.19℃","78.81%",""
2023/05/24 05:53:12,"14.13℃","79.38%",""
2023/05/24 06:03:12,"14.31℃","80.12%",""
2023/05/24 06:13:12,"14.63℃","78.88%",""
2023/05/24 06:23:12,"15.31℃","77.75%",""
2023/05/24 06:33:12,"15.94℃","76.81%",""
2023/05/24 06:43:12,"16.94℃","77.94%",""
2023/05/24 06:53:12,"17.44℃","75.12%",""
2023/05/24 07:03:12,"17.56℃","76.31%",""
2023/05/24 07:13:12,"18.00℃","76.19%",""
2023/05/24 07:23:12,"18.31℃","71.94%",""
2023/05/24 07:33:12,"19.31℃","71.06%",""
2023/05/24 07:43:12,"19.94℃","70.75%",""
2023/05/24 07:53:12,"20.38℃","70.12%",""
2023/05/24 08:03:12,"20.81℃","67.44%",""
2023/05/24 08:13:12,"20.94℃","66.44%",""
2023/05/24 08:23:12,"20.81℃","66.69%",""
2023/05/24 08:33:12,"20.75℃","64.88%",""
2023/05/24 08:43:12,"20.88℃","67.62%",""
2023/05/24 08:53:12,"21.19℃","65.94%",""
2023/05/24 09:03:12,"21.38℃","64.69%",""
2023/05/24 09:13:12,"21.63℃","64.00%",""
2023/05/24 09:23:12,"21.75℃","64.56%",""
2023/05/24 09:33:12,"22.06℃","63.44%",""
2023/05/24 09:43:12,"22.63℃","64.44%",""
2023/05/24 09:53:12,"23.38℃","61.31%",""
2023/05/24 10:03:12,"24.19℃","58.00%",""
2023/05/24 10:13:12,"24.69℃","57.94%",""
2023/05/24 10:23:12,"25.13℃","56.25%",""
2023/05/24 10:33:12,"25.44℃","56.06%",""
2023/05/24 10:43:12,"25.31℃","54.19%",""
2023/05/24 10:53:12,"25.50℃","54.75%",""
2023/05/24 11:03:12,"25.63℃","52.69%",""
2023/05/24 11:13:12,"25.63℃","53.00%",""
2023/05/24 11:23:12,"25.81℃","50.94%",""
2023/05/24 11:33:12,"26.25℃","50.19%",""
2023/05/24 11:43:12,"26.38℃","51.81%",""
2023/05/24 11:53:12,"26.44℃","50.94%",""
2023/05/24 12:03:12,"26.31℃","53.31%",""
2023/05/24 12:13:12,"26.56℃","52.25%",""
2023/05/24 12:23:12,"26.69℃","52.06%",""
2023/05/24 12:33:12,"26.81℃","53.12%",""
2023/05/24 12:43:12,"26.44℃","51.94%",""
2023/05/24 12:53:12,"26.44℃","51.94%",""
2023/05/24 13:03:12,"26.31℃","53.25%",""
2023/05/24 13:13:12,"26.50℃","53.94%",""
2023/05/24 13:23:12,"26.13℃","53.31%",""
2023/05/24 13:33:12,"25.88℃","54.06%",""
2023/05/24 13:43:12,"25.25℃","57.25%",""
2023/05/24 13:53:12,"25.75℃","57.44%",""
2023/05/24 14:03:12,"25.56℃","55.31%",""
2023/05/24 14:13:12,"25.44℃","57.94%",""
2023/05/24 14:23:12,"24.88℃","58.25%",""
2023/05/24 14:33:12,"25.19℃","62.25%",""
2023/05/24 14:43:12,"26.19℃","56.56%",""
2023/05/24 14:53:12,"26.63℃","55.12%",""
2023/05/24 15:03:12,"25.94℃","56.38%",""
2023/05/24 15:13:12,"25.38℃","56.69%",""
2023/05/24 15:23:12,"25.38℃","58.12%",""
2023/05/24 15:33:12,"23.81℃","54.94%",""
2023/05/24 15:43:12,"22.81℃","53.25%",""
2023/05/24 15:53:12,"21.88℃","53.50%",""
2023/05/24 16:03:12,"20.69℃","56.56%",""
2023/05/24 16:13:12,"19.44℃","61.19%",""
2023/05/24 16:23:12,"18.88℃","62.38%",""
2023/05/24 16:33:12,"18.44℃","62.75%",""
2023/05/24 16:43:12,"18.13℃","62.19%",""
2023/05/24 16:53:12,"17.94℃","63.94%",""
2023/05/24 17:03:12,"17.19℃","69.38%",""
2023/05/24 17:13:12,"16.13℃","73.00%",""
2023/05/24 17:23:12,"15.25℃","76.94%",""
2023/05/24 17:33:12,"14.38℃","78.62%",""
2023/05/24 17:43:12,"14.06℃","79.69%",""
2023/05/24 17:53:12,"14.00℃","82.19%",""
2023/05/24 18:03:12,"14.06℃","83.38%",""
2023/05/24 18:13:12,"14.13℃","83.75%",""
2023/05/24 18:23:12,"14.19℃","83.69%",""
2023/05/24 18:33:12,"14.13℃","84.94%",""
2023/05/24 18:43:12,"14.19℃","84.62%",""
2023/05/24 18:53:12,"14.19℃","85.56%",""
2023/05/24 19:03:12,"14.25℃","86.06%",""
2023/05/24 19:13:12,"14.25℃","85.62%",""
2023/05/24 19:23:12,"14.25℃","85.69%",""
2023/05/24 19:33:12,"14.25℃","86.50%",""
2023/05/24 19:43:12,"14.38℃","85.75%",""
2023/05/24 19:53:12,"14.38℃","85.69%",""
2023/05/24 20:03:12,"14.38℃","86.00%",""
2023/05/24 20:13:12,"14.38℃","85.88%",""
2023/05/24 20:23:12,"14.38℃","86.00%",""
2023/05/24 20:33:12,"14.25℃","86.31%",""
2023/05/24 20:43:12,"14.19℃","85.50%",""
2023/05/24 20:53:12,"14.00℃","85.62%",""
2023/05/24 21:03:12,"13.94℃","86.44%",""
2023/05/24 21:13:12,"14.00℃","85.44%",""
2023/05/24 21:23:12,"14.00℃","84.25%",""
2023/05/24 21:33:12,"14.00℃","85.69%",""
2023/05/24 21:43:12,"13.75℃","86.88%",""
2023/05/24 21:53:12,"13.63℃","87.50%",""
2023/05/24 22:03:12,"13.69℃","88.56%",""
2023/05/24 22:13:12,"13.75℃","88.12%",""
2023/05/24 22:23:12,"13.69℃","88.25%",""
2023/05/24 22:33:12,"13.56℃","88.12%",""
2023/05/24 22:43:12,"13.44℃","88.62%",""
2023/05/24 22:53:12,"13.50℃","88.88%",""
2023/05/24 23:03:12,"13.56℃","89.06%",""
2023/05/24 23:13:12,"13.56℃","89.19%",""
2023/05/24 23:23:12,"13.56℃","89.12%",""
2023/05/24 23:33:12,"13.56℃","89.06%",""
2023/05/24 23:43:12,"13.44℃","88.81%",""
2023/05/24 23:53:12,"13.63℃","85.38%",""
2023/05/25 00:03:12,"13.44℃","87.38%",""
2023/05/25 00:13:12,"13.19℃","88.00%",""
2023/05/25 00:23:12,"13.19℃","87.44%",""
2023/05/25 00:33:12,"13.13℃","88.12%",""
2023/05/25 00:43:12,"13.13℃","87.81%",""
2023/05/25 00:53:12,"13.13℃","87.12%",""
2023/05/25 01:03:12,"13.06℃","87.38%",""
2023/05/25 01:13:12,"13.00℃","86.94%",""
2023/05/25 01:23:12,"13.06℃","86.81%",""
2023/05/25 01:33:12,"13.00℃","86.75%",""
2023/05/25 01:43:12,"13.13℃","86.25%",""
2023/05/25 01:53:12,"13.13℃","86.25%",""
2023/05/25 02:03:12,"13.06℃","87.19%",""
2023/05/25 02:13:12,"13.19℃","86.75%",""
2023/05/25 02:23:12,"13.19℃","86.12%",""
2023/05/25 02:33:12,"13.06℃","86.88%",""
2023/05/25 02:43:12,"13.13℃","85.69%",""
2023/05/25 02:53:12,"13.13℃","86.50%",""
2023/05/25 03:03:12,"13.19℃","85.94%",""
2023/05/25 03:13:12,"13.19℃","85.75%",""
2023/05/25 03:23:12,"13.19℃","86.06%",""
2023/05/25 03:33:12,"13.19℃","86.81%",""
2023/05/25 03:43:12,"13.13℃","87.44%",""
2023/05/25 03:53:12,"13.13℃","87.94%",""
2023/05/25 04:03:12,"13.19℃","87.25%",""
2023/05/25 04:13:12,"13.25℃","86.81%",""
2023/05/25 04:23:12,"13.19℃","87.88%",""
2023/05/25 04:33:12,"13.13℃","88.19%",""
2023/05/25 04:43:12,"13.00℃","87.56%",""
2023/05/25 04:53:12,"13.06℃","86.12%",""
2023/05/25 05:03:12,"13.19℃","84.75%",""
2023/05/25 05:13:12,"13.13℃","85.75%",""
2023/05/25 05:23:12,"13.13℃","85.31%",""
2023/05/25 05:33:12,"13.13℃","85.19%",""
2023/05/25 05:43:12,"13.13℃","85.56%",""
2023/05/25 05:53:12,"13.19℃","84.88%",""
2023/05/25 06:03:12,"13.13℃","85.00%",""
2023/05/25 06:13:12,"13.13℃","86.69%",""
2023/05/25 06:23:12,"13.19℃","87.12%",""
