"Date","Temp","Umidità","Remark"
2023/03/18 14:22:47,"19.44℃","49.00%",""
2023/03/18 14:32:47,"19.44℃","48.94%",""
2023/03/18 14:42:47,"19.44℃","48.88%",""
2023/03/18 14:52:47,"19.44℃","48.88%",""
2023/03/18 15:02:47,"19.44℃","48.81%",""
2023/03/18 15:12:47,"19.44℃","48.81%",""
2023/03/18 15:22:47,"19.38℃","48.81%",""
2023/03/18 15:32:47,"19.38℃","48.81%",""
2023/03/18 15:42:47,"19.38℃","48.75%",""
2023/03/18 15:52:47,"19.31℃","48.69%",""
2023/03/18 16:02:47,"19.31℃","48.69%",""
2023/03/18 16:12:47,"19.25℃","48.62%",""
2023/03/18 16:22:47,"19.19℃","48.50%",""
2023/03/18 16:32:47,"19.19℃","48.56%",""
2023/03/18 16:42:47,"19.19℃","48.75%",""
2023/03/18 16:52:47,"19.19℃","48.88%",""
2023/03/18 17:02:47,"19.13℃","49.00%",""
2023/03/18 17:12:47,"19.13℃","49.06%",""
2023/03/18 17:22:47,"19.06℃","49.19%",""
2023/03/18 17:32:47,"19.06℃","49.31%",""
2023/03/18 17:42:47,"19.06℃","49.44%",""
2023/03/18 17:52:47,"19.00℃","49.62%",""
2023/03/18 18:02:47,"19.00℃","49.69%",""
2023/03/18 18:12:47,"19.00℃","49.81%",""
2023/03/18 18:22:47,"19.00℃","49.94%",""
2023/03/18 18:32:47,"18.94℃","50.06%",""
2023/03/18 18:42:47,"18.94℃","50.19%",""
2023/03/18 18:52:47,"18.88℃","50.38%",""
2023/03/18 19:02:47,"18.88℃","50.50%",""
2023/03/18 19:12:47,"18.81℃","50.62%",""
2023/03/18 19:22:47,"18.81℃","50.75%",""
2023/03/18 19:32:47,"18.81℃","50.88%",""
2023/03/18 19:42:47,"18.75℃","50.94%",""
2023/03/18 19:52:47,"18.75℃","51.00%",""
2023/03/18 20:02:47,"18.75℃","51.06%",""
2023/03/18 20:12:47,"18.69℃","51.12%",""
2023/03/18 20:22:47,"18.69℃","51.25%",""
2023/03/18 20:32:47,"18.69℃","51.31%",""
2023/03/18 20:42:47,"18.63℃","51.38%",""
2023/03/18 20:52:47,"18.56℃","51.19%",""
2023/03/18 21:02:47,"18.56℃","51.19%",""
2023/03/18 21:12:47,"18.56℃","51.25%",""
2023/03/18 21:22:47,"18.50℃","51.31%",""
2023/03/18 21:32:47,"18.50℃","51.38%",""
2023/03/18 21:42:47,"18.50℃","51.44%",""
2023/03/18 21:52:47,"18.44℃","51.50%",""
2023/03/18 22:02:47,"18.44℃","51.56%",""
2023/03/18 22:12:47,"18.38℃","51.62%",""
2023/03/18 22:22:47,"18.38℃","51.69%",""
2023/03/18 22:32:47,"18.31℃","51.81%",""
2023/03/18 22:42:47,"18.31℃","51.94%",""
2023/03/18 22:52:47,"18.31℃","52.00%",""
2023/03/18 23:02:47,"18.25℃","52.06%",""
2023/03/18 23:12:47,"18.25℃","52.06%",""
2023/03/18 23:22:47,"18.19℃","52.19%",""
2023/03/18 23:32:47,"18.19℃","52.25%",""
2023/03/18 23:42:47,"18.19℃","52.31%",""
2023/03/18 23:52:47,"18.19℃","52.44%",""
2023/03/19 00:02:47,"18.13℃","52.50%",""
2023/03/19 00:12:47,"18.13℃","52.56%",""
2023/03/19 00:22:47,"18.13℃","52.62%",""
2023/03/19 00:32:47,"18.13℃","52.69%",""
2023/03/19 00:42:47,"18.06℃","52.75%",""
2023/03/19 00:52:47,"18.06℃","52.81%",""
2023/03/19 01:02:47,"18.06℃","52.81%",""
2023/03/19 01:12:47,"18.00℃","52.88%",""
2023/03/19 01:22:47,"18.00℃","52.88%",""
2023/03/19 01:32:47,"17.94℃","52.94%",""
2023/03/19 01:42:47,"17.94℃","53.00%",""
2023/03/19 01:52:47,"17.88℃","53.06%",""
2023/03/19 02:02:47,"17.88℃","53.12%",""
2023/03/19 02:12:47,"17.88℃","53.19%",""
2023/03/19 02:22:47,"17.81℃","53.19%",""
2023/03/19 02:32:47,"17.81℃","53.25%",""
2023/03/19 02:42:47,"17.75℃","53.12%",""
2023/03/19 02:52:47,"17.75℃","53.12%",""
2023/03/19 03:02:47,"17.75℃","53.19%",""
2023/03/19 03:12:47,"17.69℃","53.31%",""
2023/03/19 03:22:47,"17.69℃","53.38%",""
2023/03/19 03:32:47,"17.63℃","53.44%",""
2023/03/19 03:42:47,"17.63℃","53.50%",""
2023/03/19 03:52:47,"17.63℃","53.56%",""
2023/03/19 04:02:47,"17.56℃","53.62%",""
2023/03/19 04:12:47,"17.56℃","53.62%",""
2023/03/19 04:22:47,"17.56℃","53.75%",""
2023/03/19 04:32:47,"17.56℃","53.81%",""
2023/03/19 04:42:47,"17.50℃","53.88%",""
2023/03/19 04:52:47,"17.50℃","53.88%",""
2023/03/19 05:02:47,"17.44℃","53.88%",""
2023/03/19 05:12:47,"17.44℃","53.94%",""
2023/03/19 05:22:47,"17.38℃","54.00%",""
2023/03/19 05:32:47,"17.38℃","54.06%",""
2023/03/19 05:42:47,"17.38℃","54.19%",""
2023/03/19 05:52:47,"17.31℃","54.25%",""
2023/03/19 06:02:47,"17.31℃","54.31%",""
2023/03/19 06:12:47,"17.31℃","54.38%",""
2023/03/19 06:22:47,"17.31℃","54.38%",""
2023/03/19 06:32:47,"17.25℃","54.38%",""
2023/03/19 06:42:47,"17.25℃","54.44%",""
2023/03/19 06:52:47,"17.19℃","54.44%",""
2023/03/19 07:02:47,"17.19℃","54.50%",""
2023/03/19 07:12:47,"17.25℃","54.56%",""
2023/03/19 07:22:47,"17.31℃","54.56%",""
2023/03/19 07:32:47,"17.44℃","54.50%",""
2023/03/19 07:42:47,"17.63℃","54.50%",""
2023/03/19 07:52:47,"17.75℃","54.44%",""
2023/03/19 08:02:47,"17.88℃","54.56%",""
2023/03/19 08:12:47,"18.00℃","54.44%",""
2023/03/19 08:22:47,"18.13℃","54.31%",""
2023/03/19 08:32:47,"18.25℃","54.12%",""
2023/03/19 08:42:47,"18.38℃","53.94%",""
2023/03/19 08:52:47,"18.50℃","53.69%",""
2023/03/19 09:02:47,"18.56℃","53.44%",""
2023/03/19 09:12:47,"18.75℃","52.69%",""
2023/03/19 09:22:47,"18.75℃","51.81%",""
2023/03/19 09:32:47,"18.81℃","51.56%",""
2023/03/19 09:42:47,"18.88℃","51.56%",""
2023/03/19 09:52:47,"19.00℃","51.50%",""
2023/03/19 10:02:47,"19.13℃","51.31%",""
2023/03/19 10:12:47,"19.19℃","50.88%",""
2023/03/19 10:22:47,"19.19℃","50.69%",""
2023/03/19 10:32:47,"19.25℃","50.50%",""
2023/03/19 10:42:47,"19.25℃","50.44%",""
2023/03/19 10:52:47,"19.25℃","50.38%",""
2023/03/19 11:02:47,"19.31℃","50.31%",""
2023/03/19 11:12:47,"19.25℃","50.19%",""
2023/03/19 11:22:47,"19.25℃","50.12%",""
2023/03/19 11:32:47,"19.25℃","49.94%",""
2023/03/19 11:42:47,"19.19℃","49.88%",""
2023/03/19 11:52:47,"19.19℃","49.81%",""
2023/03/19 12:02:47,"19.19℃","49.75%",""
2023/03/19 12:12:47,"19.19℃","49.62%",""
2023/03/19 12:22:47,"19.13℃","49.56%",""
2023/03/19 12:32:47,"19.13℃","49.50%",""
2023/03/19 12:42:47,"19.13℃","49.50%",""
2023/03/19 12:52:47,"19.06℃","49.62%",""
2023/03/19 13:02:47,"19.06℃","49.81%",""
2023/03/19 13:12:47,"19.06℃","50.00%",""
2023/03/19 13:22:47,"19.06℃","50.06%",""
2023/03/19 13:32:47,"19.06℃","50.12%",""
2023/03/19 13:42:47,"19.00℃","50.19%",""
2023/03/19 13:52:47,"19.00℃","50.25%",""
2023/03/19 14:02:47,"19.00℃","50.31%",""
2023/03/19 14:12:47,"19.00℃","50.38%",""
2023/03/19 14:22:47,"18.94℃","50.44%",""
2023/03/19 14:32:47,"18.94℃","50.50%",""
2023/03/19 14:42:47,"18.94℃","50.50%",""
2023/03/19 14:52:47,"18.88℃","50.56%",""
2023/03/19 15:02:47,"18.88℃","50.62%",""
2023/03/19 15:12:47,"18.81℃","50.75%",""
2023/03/19 15:22:47,"18.81℃","50.81%",""
2023/03/19 15:32:47,"18.81℃","50.88%",""
2023/03/19 15:42:47,"18.75℃","50.94%",""
2023/03/19 15:52:47,"18.75℃","51.00%",""
2023/03/19 16:02:47,"18.75℃","51.06%",""
2023/03/19 16:12:47,"18.69℃","51.19%",""
2023/03/19 16:22:47,"18.69℃","51.31%",""
2023/03/19 16:32:47,"18.69℃","51.38%",""
2023/03/19 16:42:47,"18.63℃","51.50%",""
2023/03/19 16:52:47,"18.63℃","51.62%",""
2023/03/19 17:02:47,"18.63℃","51.50%",""
2023/03/19 17:12:47,"18.56℃","51.62%",""
2023/03/19 17:22:47,"18.56℃","51.81%",""
2023/03/19 17:32:47,"18.56℃","51.94%",""
2023/03/19 17:42:47,"18.56℃","52.06%",""
2023/03/19 17:52:47,"18.69℃","52.38%",""
2023/03/19 18:02:47,"18.81℃","52.50%",""
2023/03/19 18:12:47,"18.88℃","52.62%",""
2023/03/19 18:22:47,"19.00℃","52.75%",""
2023/03/19 18:32:47,"19.06℃","52.81%",""
2023/03/19 18:42:47,"19.06℃","52.88%",""
2023/03/19 18:52:47,"19.13℃","52.94%",""
2023/03/19 19:02:47,"19.13℃","53.06%",""
2023/03/19 19:12:47,"19.13℃","53.12%",""
2023/03/19 19:22:47,"19.19℃","53.12%",""
2023/03/19 19:32:47,"19.13℃","53.19%",""
2023/03/19 19:42:47,"19.13℃","53.31%",""
2023/03/19 19:52:47,"19.13℃","53.38%",""
2023/03/19 20:02:47,"19.13℃","53.50%",""
2023/03/19 20:12:47,"19.13℃","53.56%",""
2023/03/19 20:22:47,"19.13℃","53.69%",""
2023/03/19 20:32:47,"19.06℃","53.75%",""
2023/03/19 20:42:47,"19.00℃","53.81%",""
2023/03/19 20:52:47,"19.00℃","53.88%",""
2023/03/19 21:02:47,"18.94℃","53.94%",""
2023/03/19 21:12:47,"18.88℃","54.00%",""
2023/03/19 21:22:47,"18.88℃","54.06%",""
2023/03/19 21:32:47,"18.81℃","54.12%",""
