"Date","Temp","Umidità","Remark"
2023/03/18 14:22:12,"19.63℃","48.88%",""
2023/03/18 14:32:12,"19.63℃","48.75%",""
2023/03/18 14:42:12,"19.63℃","48.75%",""
2023/03/18 14:52:12,"19.63℃","48.75%",""
2023/03/18 15:02:12,"19.63℃","48.69%",""
2023/03/18 15:12:12,"19.63℃","48.69%",""
2023/03/18 15:22:12,"19.56℃","48.69%",""
2023/03/18 15:32:12,"19.56℃","48.69%",""
2023/03/18 15:42:12,"19.50℃","48.62%",""
2023/03/18 15:52:12,"19.44℃","48.56%",""
2023/03/18 16:02:12,"19.44℃","48.56%",""
2023/03/18 16:12:12,"19.44℃","48.56%",""
2023/03/18 16:22:12,"19.38℃","48.44%",""
2023/03/18 16:32:12,"19.38℃","48.44%",""
2023/03/18 16:42:12,"19.31℃","48.62%",""
2023/03/18 16:52:12,"19.31℃","48.75%",""
2023/03/18 17:02:12,"19.25℃","48.81%",""
2023/03/18 17:12:12,"19.25℃","48.94%",""
2023/03/18 17:22:12,"19.19℃","49.00%",""
2023/03/18 17:32:12,"19.19℃","49.12%",""
2023/03/18 17:42:12,"19.13℃","49.38%",""
2023/03/18 17:52:12,"19.13℃","49.44%",""
2023/03/18 18:02:12,"19.13℃","49.50%",""
2023/03/18 18:12:12,"19.13℃","49.62%",""
2023/03/18 18:22:12,"19.06℃","49.56%",""
2023/03/18 18:32:12,"19.06℃","49.69%",""
2023/03/18 18:42:12,"19.06℃","49.81%",""
2023/03/18 18:52:12,"19.00℃","50.00%",""
2023/03/18 19:02:12,"19.00℃","50.12%",""
2023/03/18 19:12:12,"18.94℃","50.25%",""
2023/03/18 19:22:12,"18.94℃","50.38%",""
2023/03/18 19:32:12,"18.88℃","50.50%",""
2023/03/18 19:42:12,"18.88℃","50.56%",""
2023/03/18 19:52:12,"18.88℃","50.62%",""
2023/03/18 20:02:12,"18.81℃","50.75%",""
2023/03/18 20:12:12,"18.81℃","50.81%",""
2023/03/18 20:22:12,"18.81℃","50.94%",""
2023/03/18 20:32:12,"18.75℃","51.06%",""
2023/03/18 20:42:12,"18.75℃","51.06%",""
2023/03/18 20:52:12,"18.69℃","51.12%",""
2023/03/18 21:02:12,"18.69℃","51.19%",""
2023/03/18 21:12:12,"18.63℃","51.19%",""
2023/03/18 21:22:12,"18.63℃","51.25%",""
2023/03/18 21:32:12,"18.56℃","51.31%",""
2023/03/18 21:42:12,"18.56℃","51.38%",""
2023/03/18 21:52:12,"18.56℃","51.50%",""
2023/03/18 22:02:12,"18.50℃","51.56%",""
2023/03/18 22:12:12,"18.50℃","51.62%",""
2023/03/18 22:22:12,"18.50℃","51.69%",""
2023/03/18 22:32:12,"18.50℃","51.81%",""
2023/03/18 22:42:12,"18.44℃","51.94%",""
2023/03/18 22:52:12,"18.44℃","52.00%",""
2023/03/18 23:02:12,"18.38℃","52.06%",""
2023/03/18 23:12:12,"18.38℃","52.12%",""
2023/03/18 23:22:12,"18.31℃","52.19%",""
2023/03/18 23:32:12,"18.31℃","52.25%",""
2023/03/18 23:42:12,"18.25℃","52.38%",""
2023/03/18 23:52:12,"18.25℃","52.44%",""
2023/03/19 00:02:12,"18.25℃","52.31%",""
2023/03/19 00:12:12,"18.19℃","52.38%",""
2023/03/19 00:22:12,"18.19℃","52.44%",""
2023/03/19 00:32:12,"18.19℃","52.50%",""
2023/03/19 00:42:12,"18.19℃","52.56%",""
2023/03/19 00:52:12,"18.13℃","52.62%",""
2023/03/19 01:02:12,"18.13℃","52.69%",""
2023/03/19 01:12:12,"18.06℃","52.75%",""
2023/03/19 01:22:12,"18.06℃","52.75%",""
2023/03/19 01:32:12,"18.06℃","52.75%",""
2023/03/19 01:42:12,"18.00℃","52.88%",""
2023/03/19 01:52:12,"18.00℃","52.94%",""
2023/03/19 02:02:12,"17.94℃","53.00%",""
2023/03/19 02:12:12,"17.94℃","53.00%",""
2023/03/19 02:22:12,"17.94℃","53.06%",""
2023/03/19 02:32:12,"17.88℃","53.12%",""
2023/03/19 02:42:12,"17.88℃","53.19%",""
2023/03/19 02:52:12,"17.81℃","53.19%",""
2023/03/19 03:02:12,"17.81℃","53.25%",""
2023/03/19 03:12:12,"17.81℃","53.38%",""
2023/03/19 03:22:12,"17.75℃","53.44%",""
2023/03/19 03:32:12,"17.75℃","53.50%",""
2023/03/19 03:42:12,"17.69℃","53.56%",""
2023/03/19 03:52:12,"17.69℃","53.62%",""
2023/03/19 04:02:12,"17.69℃","53.69%",""
2023/03/19 04:12:12,"17.63℃","53.69%",""
2023/03/19 04:22:12,"17.63℃","53.81%",""
2023/03/19 04:32:12,"17.63℃","53.94%",""
2023/03/19 04:42:12,"17.56℃","53.94%",""
2023/03/19 04:52:12,"17.56℃","53.94%",""
2023/03/19 05:02:12,"17.50℃","54.00%",""
2023/03/19 05:12:12,"17.50℃","54.06%",""
2023/03/19 05:22:12,"17.44℃","54.06%",""
2023/03/19 05:32:12,"17.44℃","54.12%",""
2023/03/19 05:42:12,"17.44℃","54.25%",""
2023/03/19 05:52:12,"17.44℃","54.31%",""
2023/03/19 06:02:12,"17.38℃","54.56%",""
2023/03/19 06:12:12,"17.38℃","54.19%",""
2023/03/19 06:22:12,"17.31℃","54.25%",""
2023/03/19 06:32:12,"17.31℃","54.25%",""
2023/03/19 06:42:12,"17.31℃","54.31%",""
2023/03/19 06:52:12,"17.31℃","54.31%",""
2023/03/19 07:02:12,"17.25℃","54.38%",""
2023/03/19 07:12:12,"17.31℃","54.44%",""
2023/03/19 07:22:12,"17.38℃","54.44%",""
2023/03/19 07:32:12,"17.44℃","54.62%",""
2023/03/19 07:42:12,"17.63℃","54.62%",""
2023/03/19 07:52:12,"17.75℃","54.62%",""
2023/03/19 08:02:12,"17.88℃","54.56%",""
