"Date","Temp","Umidità","Remark"
2022/11/11 13:31:44,"20.38℃","68.44%",""
2022/11/11 13:41:44,"17.56℃","62.75%",""
2022/11/11 13:51:44,"16.56℃","66.50%",""
2022/11/11 14:01:44,"15.88℃","67.25%",""
2022/11/11 14:11:44,"15.69℃","70.50%",""
2022/11/11 14:21:44,"15.63℃","73.69%",""
2022/11/11 14:31:44,"15.38℃","75.19%",""
2022/11/11 14:41:44,"15.13℃","76.31%",""
2022/11/11 14:51:44,"14.88℃","77.81%",""
2022/11/11 15:01:44,"14.69℃","78.38%",""
2022/11/11 15:11:44,"14.50℃","79.00%",""
2022/11/11 15:21:44,"14.31℃","79.31%",""
2022/11/11 15:31:44,"14.19℃","79.94%",""
2022/11/11 15:41:44,"14.06℃","80.19%",""
2022/11/11 15:51:44,"13.94℃","80.38%",""
2022/11/11 16:01:44,"13.75℃","80.56%",""
2022/11/11 16:11:44,"13.50℃","80.12%",""
2022/11/11 16:21:44,"13.13℃","79.94%",""
2022/11/11 16:31:44,"12.81℃","80.00%",""
2022/11/11 16:41:44,"12.50℃","81.69%",""
2022/11/11 16:51:44,"12.25℃","82.38%",""
2022/11/11 17:01:44,"12.06℃","82.19%",""
2022/11/11 17:11:44,"11.88℃","82.69%",""
2022/11/11 17:21:44,"11.75℃","83.56%",""
2022/11/11 17:31:44,"11.63℃","83.94%",""
2022/11/11 17:41:44,"11.50℃","83.81%",""
2022/11/11 17:51:44,"11.38℃","83.75%",""
2022/11/11 18:01:44,"11.25℃","84.50%",""
2022/11/11 18:11:44,"11.13℃","84.31%",""
2022/11/11 18:21:44,"11.06℃","85.44%",""
2022/11/11 18:31:44,"11.06℃","85.62%",""
2022/11/11 18:41:44,"11.00℃","84.94%",""
2022/11/11 18:51:44,"11.00℃","85.69%",""
2022/11/11 19:01:44,"11.00℃","85.06%",""
2022/11/11 19:11:44,"10.88℃","86.19%",""
2022/11/11 19:21:44,"10.75℃","85.50%",""
2022/11/11 19:31:44,"10.63℃","85.62%",""
2022/11/11 19:41:44,"10.56℃","86.19%",""
2022/11/11 19:51:44,"10.50℃","86.12%",""
2022/11/11 20:01:44,"10.44℃","86.44%",""
2022/11/11 20:11:44,"10.19℃","85.31%",""
2022/11/11 20:21:44,"9.94℃","85.31%",""
2022/11/11 20:31:44,"9.81℃","85.44%",""
2022/11/11 20:41:44,"9.81℃","85.88%",""
2022/11/11 20:51:44,"9.81℃","86.56%",""
2022/11/11 21:01:44,"9.88℃","87.25%",""
2022/11/11 21:11:44,"9.88℃","86.88%",""
2022/11/11 21:21:44,"9.63℃","85.81%",""
2022/11/11 21:31:44,"9.44℃","87.00%",""
2022/11/11 21:41:44,"9.50℃","87.75%",""
2022/11/11 21:51:44,"9.56℃","87.50%",""
2022/11/11 22:01:44,"9.50℃","86.12%",""
2022/11/11 22:11:44,"9.50℃","86.62%",""
2022/11/11 22:21:44,"9.50℃","86.75%",""
2022/11/11 22:31:44,"9.56℃","87.06%",""
2022/11/11 22:41:44,"9.56℃","87.00%",""
2022/11/11 22:51:44,"9.38℃","86.56%",""
2022/11/11 23:01:44,"9.19℃","86.25%",""
2022/11/11 23:11:44,"9.13℃","87.31%",""
2022/11/11 23:21:44,"9.06℃","87.31%",""
2022/11/11 23:31:44,"8.94℃","86.56%",""
2022/11/11 23:41:44,"8.94℃","87.50%",""
2022/11/11 23:51:44,"8.88℃","87.06%",""
2022/11/12 00:01:44,"8.81℃","87.38%",""
2022/11/12 00:11:44,"8.88℃","87.19%",""
2022/11/12 00:21:44,"8.88℃","86.94%",""
2022/11/12 00:31:44,"8.69℃","86.50%",""
2022/11/12 00:41:44,"8.50℃","87.25%",""
2022/11/12 00:51:44,"8.63℃","87.50%",""
2022/11/12 01:01:44,"8.69℃","86.56%",""
2022/11/12 01:11:44,"8.56℃","86.88%",""
2022/11/12 01:21:44,"8.31℃","86.31%",""
2022/11/12 01:31:44,"8.25℃","87.81%",""
2022/11/12 01:41:44,"8.44℃","87.50%",""
2022/11/12 01:51:44,"8.50℃","87.50%",""
2022/11/12 02:01:44,"8.25℃","86.94%",""
2022/11/12 02:11:44,"8.25℃","87.75%",""
2022/11/12 02:21:44,"8.44℃","88.19%",""
2022/11/12 02:31:44,"8.63℃","87.12%",""
2022/11/12 02:41:44,"8.56℃","86.44%",""
2022/11/12 02:51:44,"8.44℃","86.25%",""
2022/11/12 03:01:44,"8.31℃","85.81%",""
2022/11/12 03:11:44,"8.19℃","86.56%",""
2022/11/12 03:21:44,"8.13℃","86.00%",""
2022/11/12 03:31:44,"8.19℃","86.06%",""
2022/11/12 03:41:44,"8.31℃","86.62%",""
2022/11/12 03:51:44,"8.44℃","85.38%",""
2022/11/12 04:01:44,"8.38℃","84.81%",""
2022/11/12 04:11:44,"8.13℃","84.06%",""
2022/11/12 04:21:44,"8.00℃","84.81%",""
2022/11/12 04:31:44,"8.13℃","84.81%",""
2022/11/12 04:41:44,"8.19℃","84.88%",""
2022/11/12 04:51:44,"8.13℃","84.38%",""
2022/11/12 05:01:44,"8.06℃","84.12%",""
2022/11/12 05:11:44,"8.19℃","84.44%",""
2022/11/12 05:21:44,"8.19℃","83.88%",""
2022/11/12 05:31:44,"8.19℃","83.38%",""
2022/11/12 05:41:44,"8.13℃","83.00%",""
2022/11/12 05:51:44,"8.06℃","83.06%",""
2022/11/12 06:01:44,"8.13℃","82.94%",""
2022/11/12 06:11:44,"8.13℃","82.12%",""
2022/11/12 06:21:44,"8.19℃","82.12%",""
2022/11/12 06:31:44,"8.25℃","81.31%",""
2022/11/12 06:41:44,"8.25℃","82.12%",""
2022/11/12 06:51:44,"8.31℃","81.88%",""
2022/11/12 07:01:44,"8.31℃","80.31%",""
2022/11/12 07:11:44,"8.38℃","80.81%",""
2022/11/12 07:21:44,"8.31℃","81.31%",""
2022/11/12 07:31:44,"8.25℃","82.00%",""
2022/11/12 07:41:44,"8.31℃","81.06%",""
2022/11/12 07:51:44,"8.75℃","78.62%",""
2022/11/12 08:01:44,"8.88℃","78.69%",""
2022/11/12 08:11:44,"8.75℃","78.56%",""
2022/11/12 08:21:44,"8.81℃","79.31%",""
2022/11/12 08:31:44,"9.06℃","81.75%",""
2022/11/12 08:41:44,"9.50℃","80.44%",""
2022/11/12 08:51:44,"10.00℃","80.69%",""
2022/11/12 09:01:44,"10.44℃","79.12%",""
2022/11/12 09:11:44,"11.13℃","81.69%",""
2022/11/12 09:21:44,"11.56℃","79.25%",""
2022/11/12 09:31:44,"11.56℃","77.31%",""
2022/11/12 09:41:44,"11.56℃","76.44%",""
2022/11/12 09:51:44,"11.75℃","76.88%",""
2022/11/12 10:01:44,"12.19℃","74.44%",""
2022/11/12 10:11:44,"12.75℃","73.94%",""
2022/11/12 10:21:44,"13.31℃","73.00%",""
2022/11/12 10:31:44,"13.69℃","70.62%",""
2022/11/12 10:41:44,"13.81℃","68.56%",""
2022/11/12 10:51:44,"13.81℃","72.00%",""
2022/11/12 11:01:44,"13.69℃","69.88%",""
2022/11/12 11:11:44,"13.75℃","71.88%",""
2022/11/12 11:21:44,"13.75℃","70.62%",""
2022/11/12 11:31:44,"13.69℃","70.31%",""
2022/11/12 11:41:44,"13.81℃","73.31%",""
2022/11/12 11:51:44,"14.06℃","72.69%",""
2022/11/12 12:01:44,"14.44℃","73.00%",""
2022/11/12 12:11:44,"14.81℃","73.19%",""
2022/11/12 12:21:44,"15.00℃","70.06%",""
2022/11/12 12:31:44,"15.50℃","68.00%",""
2022/11/12 12:41:44,"15.63℃","68.88%",""
2022/11/12 12:51:44,"15.56℃","67.62%",""
2022/11/12 13:01:44,"15.50℃","66.56%",""
2022/11/12 13:11:44,"15.31℃","68.19%",""
2022/11/12 13:21:44,"15.38℃","70.12%",""
2022/11/12 13:31:44,"15.44℃","68.62%",""
2022/11/12 13:41:44,"15.25℃","66.81%",""
2022/11/12 13:51:44,"15.19℃","69.25%",""
2022/11/12 14:01:44,"15.06℃","68.00%",""
2022/11/12 14:11:44,"15.00℃","67.88%",""
2022/11/12 14:21:44,"14.81℃","69.12%",""
2022/11/12 14:31:44,"14.69℃","69.62%",""
2022/11/12 14:41:44,"14.56℃","68.62%",""
2022/11/12 14:51:44,"14.38℃","72.25%",""
2022/11/12 15:01:44,"14.38℃","74.12%",""
2022/11/12 15:11:44,"14.25℃","72.94%",""
2022/11/12 15:21:44,"14.06℃","73.31%",""
2022/11/12 15:31:44,"13.69℃","72.81%",""
2022/11/12 15:41:44,"13.25℃","73.50%",""
2022/11/12 15:51:44,"13.00℃","74.38%",""
2022/11/12 16:01:44,"12.88℃","75.31%",""
2022/11/12 16:11:44,"12.75℃","75.38%",""
2022/11/12 16:21:44,"12.69℃","76.06%",""
2022/11/12 16:31:44,"12.56℃","76.69%",""
2022/11/12 16:41:44,"12.44℃","77.19%",""
2022/11/12 16:51:44,"12.19℃","77.31%",""
2022/11/12 17:01:44,"11.88℃","77.56%",""
2022/11/12 17:11:44,"11.69℃","79.00%",""
2022/11/12 17:21:44,"11.44℃","79.06%",""
2022/11/12 17:31:44,"11.31℃","80.50%",""
2022/11/12 17:41:44,"11.19℃","80.31%",""
2022/11/12 17:51:44,"11.25℃","81.31%",""
2022/11/12 18:01:44,"11.25℃","81.06%",""
2022/11/12 18:11:44,"11.31℃","80.81%",""
2022/11/12 18:21:44,"11.31℃","80.94%",""
2022/11/12 18:31:44,"11.38℃","80.81%",""
2022/11/12 18:41:44,"11.38℃","79.56%",""
2022/11/12 18:51:44,"11.25℃","79.25%",""
2022/11/12 19:01:44,"11.13℃","78.56%",""
2022/11/12 19:11:44,"10.88℃","78.50%",""
2022/11/12 19:21:44,"10.81℃","78.88%",""
2022/11/12 19:31:44,"10.69℃","78.62%",""
2022/11/12 19:41:44,"10.63℃","77.69%",""
2022/11/12 19:51:44,"10.63℃","78.38%",""
2022/11/12 20:01:44,"10.63℃","77.25%",""
2022/11/12 20:11:44,"10.44℃","77.44%",""
2022/11/12 20:21:44,"10.50℃","76.81%",""
2022/11/12 20:31:44,"10.44℃","74.88%",""
2022/11/12 20:41:44,"10.56℃","72.06%",""
2022/11/12 20:51:44,"10.56℃","72.62%",""
2022/11/12 21:01:44,"10.50℃","72.50%",""
2022/11/12 21:11:44,"10.38℃","72.69%",""
2022/11/12 21:21:44,"9.81℃","73.69%",""
2022/11/12 21:31:44,"9.56℃","74.44%",""
2022/11/12 21:41:44,"9.44℃","74.62%",""
2022/11/12 21:51:44,"9.44℃","74.56%",""
2022/11/12 22:01:44,"9.19℃","75.50%",""
2022/11/12 22:11:44,"9.19℃","74.50%",""
2022/11/12 22:21:44,"9.19℃","74.31%",""
2022/11/12 22:31:44,"9.13℃","74.56%",""
2022/11/12 22:41:44,"9.31℃","72.81%",""
2022/11/12 22:51:44,"9.25℃","74.06%",""
2022/11/12 23:01:44,"9.25℃","75.12%",""
2022/11/12 23:11:44,"9.63℃","74.81%",""
2022/11/12 23:21:44,"9.69℃","75.19%",""
2022/11/12 23:31:44,"9.75℃","74.75%",""
2022/11/12 23:41:44,"9.88℃","74.25%",""
2022/11/12 23:51:44,"10.00℃","74.06%",""
2022/11/13 00:01:44,"10.06℃","74.88%",""
2022/11/13 00:11:44,"9.81℃","73.56%",""
2022/11/13 00:21:44,"9.75℃","74.56%",""
2022/11/13 00:31:44,"9.81℃","74.12%",""
2022/11/13 00:41:44,"10.00℃","74.81%",""
2022/11/13 00:51:44,"10.00℃","74.38%",""
2022/11/13 01:01:44,"10.13℃","74.81%",""
2022/11/13 01:11:44,"10.38℃","73.31%",""
2022/11/13 01:21:44,"10.63℃","73.06%",""
2022/11/13 01:31:44,"10.75℃","73.12%",""
2022/11/13 01:41:44,"10.63℃","73.38%",""
2022/11/13 01:51:44,"10.50℃","73.69%",""
2022/11/13 02:01:44,"10.38℃","74.56%",""
2022/11/13 02:11:44,"10.50℃","72.94%",""
2022/11/13 02:21:44,"10.56℃","72.12%",""
2022/11/13 02:31:44,"10.50℃","72.44%",""
2022/11/13 02:41:44,"10.38℃","72.62%",""
2022/11/13 02:51:44,"10.44℃","71.44%",""
2022/11/13 03:01:44,"10.25℃","72.00%",""
2022/11/13 03:11:44,"10.06℃","72.06%",""
2022/11/13 03:21:44,"9.75℃","72.12%",""
2022/11/13 03:31:44,"9.56℃","71.25%",""
2022/11/13 03:41:44,"9.50℃","71.06%",""
2022/11/13 03:51:44,"9.31℃","71.06%",""
2022/11/13 04:01:44,"9.25℃","71.25%",""
2022/11/13 04:11:44,"9.06℃","71.56%",""
2022/11/13 04:21:44,"8.94℃","71.75%",""
2022/11/13 04:31:44,"8.94℃","70.38%",""
2022/11/13 04:41:44,"8.69℃","71.31%",""
2022/11/13 04:51:44,"8.56℃","72.81%",""
2022/11/13 05:01:44,"8.63℃","71.69%",""
2022/11/13 05:11:44,"8.69℃","71.12%",""
2022/11/13 05:21:44,"8.75℃","73.38%",""
2022/11/13 05:31:44,"8.69℃","70.12%",""
2022/11/13 05:41:44,"8.63℃","73.44%",""
2022/11/13 05:51:44,"8.69℃","72.12%",""
2022/11/13 06:01:44,"8.63℃","73.69%",""
2022/11/13 06:11:44,"8.69℃","72.31%",""
2022/11/13 06:21:44,"8.63℃","74.00%",""
2022/11/13 06:31:44,"8.69℃","73.81%",""
2022/11/13 06:41:44,"8.63℃","73.81%",""
2022/11/13 06:51:44,"8.31℃","71.56%",""
2022/11/13 07:01:44,"8.00℃","72.75%",""
2022/11/13 07:11:44,"7.94℃","73.62%",""
2022/11/13 07:21:44,"8.19℃","73.50%",""
2022/11/13 07:31:44,"8.69℃","74.00%",""
2022/11/13 07:41:44,"9.31℃","71.69%",""
2022/11/13 07:51:44,"10.13℃","69.50%",""
2022/11/13 08:01:44,"11.00℃","67.62%",""
2022/11/13 08:11:44,"11.94℃","67.00%",""
2022/11/13 08:21:44,"12.81℃","64.31%",""
2022/11/13 08:31:44,"13.50℃","60.25%",""
2022/11/13 08:41:44,"14.38℃","60.69%",""
2022/11/13 08:51:44,"15.00℃","61.75%",""
2022/11/13 09:01:44,"15.75℃","59.06%",""
2022/11/13 09:11:44,"16.13℃","58.94%",""
2022/11/13 09:21:44,"15.50℃","59.69%",""
2022/11/13 09:31:44,"15.50℃","56.31%",""
2022/11/13 09:41:44,"16.06℃","56.44%",""
2022/11/13 09:51:44,"16.50℃","56.44%",""
2022/11/13 10:01:44,"16.88℃","52.75%",""
2022/11/13 10:11:44,"17.00℃","54.50%",""
2022/11/13 10:21:44,"17.56℃","51.69%",""
2022/11/13 10:31:44,"17.56℃","49.56%",""
2022/11/13 10:41:44,"17.25℃","51.81%",""
2022/11/13 10:51:44,"17.19℃","52.19%",""
2022/11/13 11:01:44,"17.25℃","50.31%",""
2022/11/13 11:11:44,"17.06℃","48.62%",""
2022/11/13 11:21:44,"16.88℃","50.81%",""
2022/11/13 11:31:44,"17.19℃","48.88%",""
2022/11/13 11:41:44,"18.44℃","49.75%",""
2022/11/13 11:51:44,"17.94℃","48.00%",""
2022/11/13 12:01:44,"17.31℃","47.62%",""
2022/11/13 12:11:44,"17.38℃","51.38%",""
2022/11/13 12:21:44,"17.25℃","49.12%",""
2022/11/13 12:31:44,"17.19℃","50.12%",""
2022/11/13 12:41:44,"17.19℃","47.94%",""
2022/11/13 12:51:44,"16.38℃","49.94%",""
2022/11/13 13:01:44,"15.31℃","51.88%",""
2022/11/13 13:11:44,"14.25℃","53.75%",""
2022/11/13 13:21:44,"14.13℃","56.62%",""
2022/11/13 13:31:44,"14.19℃","56.44%",""
2022/11/13 13:41:44,"14.00℃","58.94%",""
2022/11/13 13:51:44,"13.75℃","57.88%",""
2022/11/13 14:01:44,"13.56℃","60.12%",""
2022/11/13 14:11:44,"13.31℃","60.12%",""
2022/11/13 14:21:44,"13.13℃","61.25%",""
2022/11/13 14:31:44,"13.00℃","61.56%",""
2022/11/13 14:41:44,"12.88℃","62.00%",""
2022/11/13 14:51:44,"12.81℃","63.38%",""
2022/11/13 15:01:44,"12.63℃","63.88%",""
2022/11/13 15:11:44,"12.56℃","65.25%",""
2022/11/13 15:21:44,"12.44℃","65.25%",""
2022/11/13 15:31:44,"12.25℃","65.50%",""
2022/11/13 15:41:44,"12.13℃","65.38%",""
2022/11/13 15:51:44,"11.94℃","66.81%",""
2022/11/13 16:01:44,"11.69℃","68.44%",""
2022/11/13 16:11:44,"11.63℃","68.56%",""
2022/11/13 16:21:44,"11.50℃","67.31%",""
2022/11/13 16:31:44,"11.38℃","69.19%",""
2022/11/13 16:41:44,"11.31℃","69.19%",""
2022/11/13 16:51:44,"11.25℃","69.56%",""
2022/11/13 17:01:44,"11.25℃","69.81%",""
2022/11/13 17:11:44,"11.19℃","69.31%",""
2022/11/13 17:21:44,"11.13℃","69.81%",""
2022/11/13 17:31:44,"11.06℃","70.25%",""
2022/11/13 17:41:44,"11.00℃","69.62%",""
2022/11/13 17:51:44,"10.94℃","70.06%",""
2022/11/13 18:01:44,"10.94℃","70.12%",""
2022/11/13 18:11:44,"10.88℃","70.38%",""
2022/11/13 18:21:44,"10.88℃","70.06%",""
2022/11/13 18:31:44,"10.81℃","69.81%",""
2022/11/13 18:41:44,"10.81℃","71.44%",""
2022/11/13 18:51:44,"10.81℃","70.75%",""
2022/11/13 19:01:44,"10.81℃","70.50%",""
2022/11/13 19:11:44,"10.81℃","71.19%",""
2022/11/13 19:21:44,"10.75℃","71.12%",""
2022/11/13 19:31:44,"10.75℃","71.31%",""
2022/11/13 19:41:44,"10.69℃","71.31%",""
2022/11/13 19:51:44,"10.69℃","71.69%",""
2022/11/13 20:01:44,"10.63℃","70.75%",""
2022/11/13 20:11:44,"10.50℃","71.19%",""
2022/11/13 20:21:44,"10.44℃","71.44%",""
2022/11/13 20:31:44,"10.38℃","72.38%",""
2022/11/13 20:41:44,"10.31℃","72.62%",""
2022/11/13 20:51:44,"10.13℃","74.75%",""
2022/11/13 21:01:44,"10.06℃","76.69%",""
2022/11/13 21:11:44,"9.81℃","77.62%",""
2022/11/13 21:21:44,"9.69℃","78.44%",""
2022/11/13 21:31:44,"9.56℃","78.69%",""
2022/11/13 21:41:44,"9.50℃","79.00%",""
2022/11/13 21:51:44,"9.31℃","79.81%",""
2022/11/13 22:01:44,"9.19℃","80.50%",""
2022/11/13 22:11:44,"9.13℃","81.00%",""
2022/11/13 22:21:44,"9.06℃","81.62%",""
2022/11/13 22:31:44,"9.00℃","81.75%",""
2022/11/13 22:41:44,"8.94℃","81.94%",""
2022/11/13 22:51:44,"8.88℃","82.06%",""
2022/11/13 23:01:44,"8.81℃","82.38%",""
2022/11/13 23:11:44,"8.75℃","82.50%",""
2022/11/13 23:21:44,"8.75℃","82.69%",""
2022/11/13 23:31:44,"8.75℃","83.25%",""
2022/11/13 23:41:44,"8.75℃","83.19%",""
2022/11/13 23:51:44,"8.75℃","82.94%",""
2022/11/14 00:01:44,"8.69℃","83.56%",""
2022/11/14 00:11:44,"8.63℃","84.31%",""
2022/11/14 00:21:44,"8.56℃","84.25%",""
2022/11/14 00:31:44,"8.50℃","85.19%",""
2022/11/14 00:41:44,"8.50℃","84.75%",""
2022/11/14 00:51:44,"8.50℃","85.12%",""
2022/11/14 01:01:44,"8.44℃","85.62%",""
2022/11/14 01:11:44,"8.38℃","85.56%",""
2022/11/14 01:21:44,"8.38℃","86.12%",""
2022/11/14 01:31:44,"8.38℃","86.62%",""
2022/11/14 01:41:44,"8.38℃","87.06%",""
2022/11/14 01:51:44,"8.44℃","87.38%",""
2022/11/14 02:01:44,"8.44℃","87.19%",""
2022/11/14 02:11:44,"8.44℃","87.38%",""
2022/11/14 02:21:44,"8.44℃","87.44%",""
2022/11/14 02:31:44,"8.44℃","87.50%",""
2022/11/14 02:41:44,"8.31℃","88.00%",""
2022/11/14 02:51:44,"8.25℃","87.69%",""
2022/11/14 03:01:44,"8.19℃","87.88%",""
2022/11/14 03:11:44,"8.19℃","87.75%",""
