time,temperature(C),humidity,note
2022/10/01 11:28:13,"17,63","99,8",""
2022/10/01 11:38:13,"17,56","99,7",""
2022/10/01 11:48:13,"17,50","99,7",""
2022/10/01 11:58:13,"17,44","99,6",""
2022/10/01 12:08:13,"17,31","99,1",""
2022/10/01 12:18:13,"17,00","99,1",""
2022/10/01 12:28:13,"17,00","98,9",""
2022/10/01 12:38:13,"16,94","98,8",""
2022/10/01 12:48:13,"16,94","98,5",""
2022/10/01 12:58:13,"16,94","98,4",""
2022/10/01 13:08:13,"17,06","98,7",""
2022/10/01 13:18:13,"17,13","98,6",""
2022/10/01 13:28:13,"17,25","98,4",""
2022/10/01 13:38:13,"17,25","98,3",""
2022/10/01 13:48:13,"17,31","98,2",""
2022/10/01 13:58:13,"17,31","98,1",""
2022/10/01 14:08:13,"17,38","98,1",""
2022/10/01 14:18:13,"17,38","98,1",""
2022/10/01 14:28:13,"17,44","98,4",""
2022/10/01 14:38:13,"17,44","98,3",""
2022/10/01 14:48:13,"17,50","98,3",""
2022/10/01 14:58:13,"17,56","98,2",""
2022/10/01 15:08:13,"17,56","98,2",""
2022/10/01 15:18:13,"17,63","98,1",""
2022/10/01 15:28:13,"17,63","98,1",""
2022/10/01 15:38:13,"17,69","98,0",""
2022/10/01 15:48:13,"17,69","98,0",""
2022/10/01 15:58:13,"17,69","97,9",""
2022/10/01 16:08:13,"17,69","97,9",""
2022/10/01 16:18:13,"17,69","97,9",""
2022/10/01 16:28:13,"17,69","97,8",""
2022/10/01 16:38:13,"17,69","97,8",""
2022/10/01 16:48:13,"17,69","97,8",""
2022/10/01 16:58:13,"17,69","97,7",""
2022/10/01 17:08:13,"17,69","97,7",""
2022/10/01 17:18:13,"17,69","97,6",""
2022/10/01 17:28:13,"17,69","97,6",""
2022/10/01 17:38:13,"17,69","97,6",""
2022/10/01 17:48:13,"17,69","97,6",""
2022/10/01 17:58:13,"17,69","97,5",""
2022/10/01 18:08:13,"17,69","97,5",""
2022/10/01 18:18:13,"17,69","97,4",""
2022/10/01 18:28:13,"17,69","97,4",""
2022/10/01 18:38:13,"17,69","97,4",""
2022/10/01 18:48:13,"17,63","97,4",""
2022/10/01 18:58:13,"17,63","97,3",""
2022/10/01 19:08:13,"17,63","97,3",""
2022/10/01 19:18:13,"17,63","97,2",""
2022/10/01 19:28:13,"17,63","97,2",""
2022/10/01 19:38:13,"17,63","97,1",""
